xCol,yCol
BitAV (CUDA),253.4656707
BitAV (CPU),226.1339987
Microsoft,25.7691071
Bit Defender,26.30677637
Sophos,25.21336522
Avast,24.85333053
McAfee,20.39455989
Panda,17.6312724
Avira,16.93416751
