xCol,yCol
BitAV (CUDA),434.613836
BitAV (CPU),338.6313563
Microsoft,46.21470472
Bit Defender,20.9489026
Sophos,19.41245757
Avast,18.94447284
McAfee,31.02268213
Panda,16.07807541
Avira,15.415425
